time,acceleration,gyro,g_removed
4.8069999999999995,2.291590396765657,1.7623998187699093,1.8179860837310837
4.808,2.272537916213725,1.7574343235365242,1.8087006390542555
4.808,2.25417262557216,1.7525421976717654,1.7997623724781464
4.808,2.236546961551388,1.7476752130288344,1.7911694894645496
4.808,2.2196938644003716,1.742785687063994,1.7829172925181769
4.809,2.203626315439346,1.7378275605920557,1.7749976660922777
4.809,2.188337720293713,1.7327574387650102,1.767398789295823
4.809,2.1738030278965277,1.7275355411765505,1.7601050598982995
4.809,2.1599804446192827,1.722126527830857,1.7530972072001647
4.81,2.1468135670306747,1.716500186753409,1.7463525576744339
4.81,2.134233711234283,1.710631969703803,1.7398453887610141
4.81,2.122162221676135,1.7045033678143533,1.7335473070496783
4.81,2.1105126112658903,1.698102128650057,1.7274276163692959
4.81,2.099192443160576,1.6914223097235388,1.7214536528444768
4.811,2.088104865341203,1.6844641601374477,1.715591046143377
4.815,2.0771497192276263,1.6772338404498455,1.7098038659234684
4.816,2.0662242163248385,1.669743010177106,1.7040546570442647
4.817,2.0552232439936637,1.6620083218866075,1.6983044118585668
4.8180000000000005,2.04403938762128,1.6540508670380398,1.692512534133508
4.824,2.0325628147624375,1.645895612593308,1.6866368422572133
4.824,2.0206812614120153,1.6375708476289892,1.6806336690092318
4.825,2.0082803978013257,1.6291076449339932,1.6744581314444633
4.8260000000000005,1.9952447777728837,1.6205393442274039,1.6680646386941482
4.8260000000000005,1.981459426679439,1.6119010692765627,1.6614076630070855
4.828,1.9668120036761505,1.6032292797968264,1.6544427445270373
4.831,1.9511954529154318,1.59456133726181,1.6471276690501455
4.832,1.9345110681232933,1.5859350658502689,1.6394237530792
4.833,1.9166718607450977,1.5773883134388267,1.6312971761280473
4.838,1.8976060689709706,1.5689585248621334,1.62272030624551
4.8389999999999995,1.8772606142120618,1.5606823259034341,1.6136729620546826
4.8389999999999995,1.8556043085925291,1.5525951017362205,1.6041435448372694
4.84,1.8326306364402365,1.5447305459386373,1.5941299747817759
4.841,1.8083599423880055,1.5371201684622195,1.583640380661252
4.842,1.7828408426393005,1.5297927819639954,1.572693506386911
4.845,1.756150667021682,1.5227740021120697,1.5613187985454333
4.845,1.7283947496226875,1.516085785829436,1.5495561259139787
4.85,1.6997044393743483,1.5097460122706017,1.5374550825109046
4.851,1.670233855292196,1.5037681018163502,1.525073873189353
4.851,1.6401556185923498,1.498160676493439,1.5124778508068317
4.852,1.6096559145255074,1.4929272826516329,1.499737806384062
4.855,1.5789291956070857,1.4880662030699738,1.4869280937514262
4.8580000000000005,1.548172756864814,1.483570376195639,1.4741246595558368
4.8580000000000005,1.517581466479521,1.479427429650888,1.461403102952409
4.86,1.4873429776904261,1.4756198401950447,1.4488369278827136
4.86,1.4576335511573835,1.4721252429495058,1.4364960724719693
4.863,1.4286143926103168,1.4689168986565886,1.424445687690246
4.865,1.4004284343584275,1.4659642957380332,1.4127451199663374
4.867,1.3731975974871669,1.463233851426639,1.401447087927773
4.869,1.3470205775619863,1.4606896866573946,1.3905970503023455
4.87,1.3219712013517513,1.4582944564274123,1.3802327613330403
4.87,1.2980974339595643,1.4560102143075166,1.3703840177730444
4.874,1.2754211060131235,1.4537992870779186,1.3610726019240742
4.875,1.2539384433604253,1.4516251323629203,1.3523124369474597
4.875,1.2336215027446196,1.44945314780309,1.3441099819703635
4.877,1.2144205314393024,1.4472514069297406,1.3364648693324013
