time,acceleration,gyro,g_removed
0.003,0.3053990162825255,0.05829754797957739,0.19566946542903452
0.003,0.28699100170961117,0.060152244776726836,0.1873178439255836
0.003,0.2687488755931594,0.062043410237663216,0.1790934480586868
0.003,0.25084398518565865,0.06396075649707282,0.17108161558507937
0.004,0.23344231158760306,0.06589355185720594,0.16336344867318617
0.004,0.21670124393196225,0.06783065512619493,0.15601391056874678
0.004,0.20076665543493646,0.06976055679607597,0.14910017248602644
0.004,0.18577040043593446,0.07167142186767954,0.14268028515755757
0.004,0.1718283189543147,0.07355113623865014,0.13680222058591
0.004,0.15903879215673555,0.07538735386687595,0.13150329320943366
0.004,0.14748188197537954,0.07716752940599328,0.1268099518327117
0.005,0.13721905935658837,0.07887891799222448,0.12273791857764645
0.006,0.12829349492325232,0.08050853794011939,0.11929264425987195
0.01,0.12073087758010732,0.08204311081389755,0.11647005434454656
0.011000000000000001,0.1145407014853135,0.08346900267679332,0.11425755277653157
0.011000000000000001,0.10971792291442269,0.08477219012273915,0.11263523189610743
0.011000000000000001,0.10624487096669184,0.08593826810504782,0.11157722364365671
0.013000000000000001,0.10409328428011679,0.08695250566725338,0.1110531178121309
0.017,0.10322631969273442,0.08779994867073865,0.11102936095578918
0.017,0.10360037029633644,0.08846557166514236,0.11147055032768921
0.018000000000000002,0.10516656279064221,0.08893448798818393,0.1123405575625651
0.022000000000000002,0.10787184721728209,0.08919222978438099,0.11360343764160355
0.022000000000000002,0.11165963073211221,0.08922510789675038,0.11522409605647005
0.023,0.11646995809293527,0.08902065735109074,0.11716871338803221
0.026000000000000002,0.12223929042976094,0.0885681647104648,0.11940494885599007
0.027000000000000003,0.12889994971757215,0.08785925701151227,0.1219019411754208
0.028999999999999998,0.13637928803205626,0.08688851251895639,0.12463010510037248
0.032,0.14459864285304377,0.08565403866476246,0.12756071294047183
0.032,0.1534721715203409,0.08415796062944111,0.13066526927787095
0.033,0.1629057060134717,0.08240677783012572,0.13391472615439376
0.037000000000000005,0.17279580022447538,0.08041156554433807,0.13727861663022903
0.038,0.18302913454938866,0.07818801630009674,0.14072418904920136
0.039,0.1934823973336223,0.07575633085324326,0.14421561199202954
0.040999999999999995,0.20402269695174508,0.07314097775212758,0.14771330889680415
0.040999999999999995,0.21450851097914148,0.07037033685184284,0.15117348641919817
0.043,0.2247911800728605,0.06747622934906783,0.15454794133813288
0.046,0.23471699328793655,0.06449332989416175,0.1577842436465288
0.046,0.24412995130012688,0.06145846812897639,0.16082638191672627
0.049,0.2528752840992402,0.05840984590548549,0.16361592765841804
0.051,0.2608037063440422,0.055386193310626775,0.16609372926482271
0.051,0.26777622883392976,0.05242586158458745,0.1682020674807696
0.054000000000000006,0.2736691754062018,0.04956584186891963,0.16988710646604224
0.057,0.2783789920168141,0.04684072593738686,0.17110142179582485
0.057999999999999996,0.2818264824534761,0.04428165958533281,0.1718063907034271
0.059000000000000004,0.28396012626834244,0.0419153506824066,0.17197422199400975
0.061,0.284758137524512,0.03976319316503616,0.17158939629446102
0.061,0.2842290512728506,0.03784056885391701,0.17064936260269128
0.063,0.28241082889634217,0.036156381716494046,0.1691644600531462
0.066,0.2793686032945455,0.03471286338600536,0.16715711376936762
0.066,0.2751912861747649,0.03350566855227566,0.1646604165983325
0.068,0.26998742297817896,0.032524250047457515,0.16171630989739408
0.071,0.26388076404568084,0.031752474047642865,0.15837363253724507
0.071,0.25700585503910167,0.03116942327917597,0.1546862133027672
0.073,0.24950362418046027,0.03075034294983814,0.15071098602621177
0.076,0.24151669704596626,0.030467694788746252,0.14650595074201686
0.076,0.233184251135223,0.030292284422405256,0.14212784174137935
0.078,0.22463665332502836,0.030194418157027662,0.13762961154207656
0.081,0.21599048621889014,0.030145038479710697,0.13305805169433033
0.081,0.2073445691519638,0.030116790179555968,0.12845187449084267
0.083,0.19877745562403118,0.030084974785889174,0.12384051341768818
0.086,0.19034678318929024,0.030028347203164812,0.11924384412338507
0.086,0.18209054776007913,0.029929701578976748,0.11467286788694393
0.08800000000000001,0.17402990018191977,0.02977620518000758,0.11013116464252119
0.091,0.16617280086755362,0.02955946922793825,0.10561680528840678
0.091,0.15851797456312305,0.02927537556663055,0.10112446541647549
0.09300000000000001,0.15105880395975813,0.02892369940073443,0.09664755815405118
0.096,0.143786847128427,0.0285075822593085,0.09218020356740095
0.096,0.1366946794129616,0.02803291554556158,0.08771885323821678
0.098,0.12977790000457376,0.027507693757428977,0.08326346438990308
0.10099999999999999,0.12303630750770808,0.026941390146415767,0.07881820422473154
0.10099999999999999,0.1164743283002244,0.02634439727323686,0.07439170555357455
0.10300000000000001,0.11010082837890113,0.025727558522049138,0.06999692492997231
0.106,0.10392846011503871,0.025101795572449737,0.06565067356559677
0.106,0.09797264662119942,0.0244778192314012,0.06137286773878715
0.10800000000000001,0.09225029130452508,0.023865903709183175,0.057185542763737406
0.11,0.0867784075492391,0.023275706529415296,0.05311175100693295
0.111,0.08157294385308625,0.022716121895249467,0.04917452810695942
0.113,0.07664798558315541,0.022195161120048885,0.04539606302516007
0.115,0.07201534818992282,0.02171985966227579,0.04179709974337988
0.115,0.06768448668713714,0.02129621356475042,0.03839653412013179
0.11800000000000001,0.06366262885492134,0.020929145869939835,0.035211167295412724
0.12,0.05995504230622272,0.020622499216813795,0.03225559214627574
0.121,0.05656535421433885,0.02037904879337273,0.029542187978916966
0.12300000000000001,0.05349584951838609,0.020200530106184084,0.027081187182600396
0.126,0.050747676325003085,0.020087676935040346,0.024880774808329807
0.127,0.04832090940653514,0.02004026579013893,0.022947193511027607
