time,acceleration,gyro,g_removed
0.005,0.045515247726993,0.022315331366883684,0.028921378915794552
0.005,0.04547363760630981,0.022161108898722713,0.028879343098205362
0.005,0.045460400130318816,0.021981070732958893,0.02886085358785919
0.005,0.04547959895992032,0.021774795243280402,0.02886664554247117
0.006,0.04553244356841293,0.021542344933919128,0.028896009847879905
0.006,0.04561692724059354,0.021284322126153277,0.028946662815875664
0.006,0.04572768721026048,0.021001915437394277,0.029014730387352458
0.006,0.04585605544879846,0.020696933524651608,0.029094829317380673
0.006,0.045990280997299016,0.020371822181902352,0.029180227568485977
0.006,0.04611596067128492,0.020029660517076033,0.0292630834364884
0.006,0.04621674367390813,0.019674131598238942,0.029334773283114114
0.006,0.046275337053590694,0.019309462659575644,0.029386313980437985
0.006999999999999999,0.04627476367654676,0.018940329705258534,0.029408876335313333
0.016,0.04619977363655136,0.01857172115210656,0.029394375076600414
0.016,0.04603828650379805,0.018208756970920087,0.029336097968202923
0.016,0.04578270618535054,0.017856469486872174,0.02922929778799918
0.016,0.04543092932121605,0.01751956958560825,0.029071651513449943
0.016,0.04498691255286806,0.01720223192145443,0.028863516319933502
0.018000000000000002,0.04446073626898012,0.016907923117951057,0.0286079503036187
0.02,0.043868152538131984,0.01663927960205032,0.02831049049618213
0.02,0.04322966742261873,0.016398032237946142,0.027978718445666576
0.022000000000000002,0.04256930602248339,0.016184973314412442,0.02762170680779254
0.026000000000000002,0.04191326427076878,0.015999961819646667,0.027249473919906574
0.027000000000000003,0.04128860553215874,0.015841963343672022,0.02687253192098808
0.027999999999999997,0.04072207738515307,0.015709121366507563,0.0265015391274235
0.03,0.040239074525250905,0.015598857106772323,0.026147024240468896
0.03,0.03986273761170144,0.015507995506920044,0.025819143574101824
0.032,0.039613131952195305,0.015432915305728616,0.025527433223418706
0.035,0.03950643074227689,0.015369721485307746,0.0252805213767588
0.035,0.039554074408239465,0.015314438669947162,0.02508578902271764
0.037000000000000005,0.039761963516040194,0.015263224291075283,0.024949005730624668
0.04,0.040129791512046306,0.015212598559522254,0.024873988292859757
0.04,0.04065060367940448,0.015159678643210566,0.02486231695090755
0.042,0.04131063064121322,0.015102386937515947,0.024913120501083318
0.044000000000000004,0.04208943433553818,0.015039593566281451,0.025022936667044433
0.045,0.04296039852527625,0.014971164943510605,0.025185666481947883
0.047,0.04389156604175394,0.014897917511672274,0.02539265399659584
0.049,0.044846792843181056,0.014821503041824315,0.025632924060185493
0.049,0.04578717296123592,0.014744263523637655,0.025893596122976287
0.052000000000000005,0.04667267367258688,0.01466908384460983,0.026160467281952413
0.054000000000000006,0.04746390832588365,0.014599252840552477,0.02641873953996762
0.057,0.0481239730780197,0.014538333528158622,0.026653855245017892
0.057,0.04862026684886168,0.014490041413426857,0.026852389078318977
0.06,0.04892620219978376,0.014458129854214907,0.027002932130110593
0.06,0.04902270615681683,0.014446281592487656,0.027096899472119223
0.062,0.04889938828869955,0.014458005764314148,0.027129182712338763
0.069,0.04855523982437287,0.014496539944001064,0.02709856310319187
0.069,0.04799876316312056,0.014564757081916034,0.027007823956721036
0.069,0.04724749494570472,0.014665077550970797,0.026863541314555178
0.07,0.046326953392080275,0.014799386920328407,0.026675573157843333
0.07,0.045269134565383125,0.014968960521184604,0.02645632134482133
0.07400000000000001,0.04411077629044159,0.015174396351634638,0.026219891367711703
0.075,0.04289161633856157,0.01541555837761852,0.025981275981771274
0.076,0.04165278947756019,0.015691532815555836,0.025755638926320754
0.077,0.04043542809562628,0.01600060051935452,0.02555772522682778
0.079,0.039279497053448485,0.016340229128992852,0.025401403301021978
0.08,0.03822287288763945,0.016707089158186778,0.02529933797166552
0.08199999999999999,0.037300647201788766,0.0170970986927446,0.02526278518857759
0.084,0.0365446029902165,0.017505501826984245,0.02530148693984956
0.084,0.03598280292092611,0.017926986371249953,0.02542363949255986
0.08800000000000001,0.0356392572570502,0.018355844755067945,0.025635918016998167
0.09,0.035533689544437704,0.01878617255904954,0.02594355591816606
0.09,0.035681442171406695,0.019212081726290284,0.02635047908228734
0.092,0.03609352711726581,0.019627895849007586,0.026859474570705245
0.096,0.036776756325913304,0.020028304713589722,0.027472342596374284
0.096,0.037733857464443674,0.020408472799231834,0.02818997417008579
0.098,0.038963527745520865,0.020764106040797408,0.029012330465090216
0.099,0.040460442745144154,0.021091482890538683,0.029938340115705557
0.099,0.04221525796481719,0.021387455411552705,0.03096574289666404
0.102,0.04421462662554,0.021649425769157665,0.03209090223857141
0.106,0.046441240493684796,0.02187530306311081,0.033308606211964874
0.106,0.04887389646471803,0.022063444972196672,0.034611878156579255
0.107,0.05148760125738237,0.022212588732306207,0.035991818061671024
0.109,0.05425374069715403,0.02232177823015994,0.037437493967709116
0.109,0.057140353371909945,0.022390298474008214,0.03893590504798672
0.111,0.06011257365121147,0.022417630917924904,0.040472057074553064
0.115,0.06313333635338547,0.02240343970661238,0.04202921901101737
0.115,0.06616439176124342,0.022347592681716422,0.04358941106761731
0.11599999999999999,0.0691675396199081,0.02225021475669839,0.045134082489638225
0.11900000000000001,0.07210587892137336,0.02211176502848556,0.04664485099415401
0.12,0.07494487824262386,0.021933125558734216,0.04810416774420941
0.121,0.07765311913193025,0.021715691934630302,0.04949580421178103
0.124,0.08020259318895653,0.02146146014810211,0.05080508636399148
0.124,0.08256849725000139,0.021173106531808438,0.05201884660281844
0.126,0.08472860841117431,0.020854057468068555,0.053125144515667785
0.129,0.08666248475885586,0.02050854503498815,0.05411290163511496
0.129,0.08835081082672049,0.02014164424361066,0.054971635673261
